<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HDFCBANK,04/01/2021,09:15:00,1499.40,1499.40,1494.00,1496.10,395333,0
HDFCBANK,04/01/2021,09:16:00,1496.15,1498.75,1490.05,1495.95,232903,0
HDFCBANK,04/01/2021,09:17:00,1496.05,1497.55,1495.35,1496.25,127449,0
HDFCBANK,04/01/2021,09:18:00,1496.15,1498.30,1496.15,1497.90,105191,0
HDFCBANK,04/01/2021,09:19:00,1497.40,1498.15,1494.30,1495.00,139173,0
HDFCBANK,04/01/2021,09:20:00,1495.65,1496.55,1494.50,1495.00,78448,0
HDFCBANK,04/01/2021,09:21:00,1495.00,1495.70,1494.50,1494.90,57122,0
HDFCBANK,04/01/2021,09:22:00,1494.80,1495.95,1492.40,1492.90,92473,0
HDFCBANK,04/01/2021,09:23:00,1492.90,1493.05,1488.70,1488.70,105369,0
HDFCBANK,04/01/2021,09:24:00,1488.00,1492.00,1488.00,1492.00,109400,0
HDFCBANK,04/01/2021,09:25:00,1492.00,1492.80,1489.05,1490.20,68203,0
HDFCBANK,04/01/2021,09:26:00,1490.20,1490.80,1487.95,1488.00,138132,0
HDFCBANK,04/01/2021,09:27:00,1487.25,1488.00,1484.00,1486.45,123387,0
HDFCBANK,04/01/2021,09:28:00,1486.25,1487.40,1485.30,1485.65,63267,0
HDFCBANK,04/01/2021,09:29:00,1485.65,1487.75,1485.25,1487.25,58961,0
HDFCBANK,04/01/2021,09:30:00,1487.25,1489.45,1485.70,1485.70,90147,0
HDFCBANK,04/01/2021,09:31:00,1486.55,1488.85,1486.50,1488.60,26428,0
HDFCBANK,04/01/2021,09:32:00,1488.70,1489.25,1488.25,1489.05,39485,0
HDFCBANK,04/01/2021,09:33:00,1489.10,1490.05,1489.05,1489.95,35158,0
HDFCBANK,04/01/2021,09:34:00,1489.95,1490.60,1489.30,1490.00,33873,0
HDFCBANK,04/01/2021,09:35:00,1489.95,1491.95,1489.70,1490.45,52531,0
HDFCBANK,04/01/2021,09:36:00,1490.50,1491.00,1488.55,1488.55,31596,0
HDFCBANK,04/01/2021,09:37:00,1488.25,1488.85,1487.30,1487.70,25650,0
HDFCBANK,04/01/2021,09:38:00,1488.00,1488.60,1487.55,1488.00,19488,0
HDFCBANK,04/01/2021,09:39:00,1487.50,1489.25,1486.95,1488.00,32596,0
HDFCBANK,04/01/2021,09:40:00,1488.50,1489.00,1486.55,1487.15,24736,0
HDFCBANK,04/01/2021,09:41:00,1487.15,1487.75,1485.10,1485.95,29295,0
HDFCBANK,04/01/2021,09:42:00,1485.50,1486.00,1485.40,1486.00,25510,0
HDFCBANK,04/01/2021,09:43:00,1485.85,1487.70,1485.85,1487.60,20921,0
HDFCBANK,04/01/2021,09:44:00,1487.20,1487.70,1487.00,1487.70,13293,0
HDFCBANK,04/01/2021,09:45:00,1487.70,1488.00,1486.95,1487.40,24219,0
HDFCBANK,04/01/2021,09:46:00,1487.40,1488.15,1487.40,1488.00,14574,0
HDFCBANK,04/01/2021,09:47:00,1488.35,1488.40,1487.35,1487.50,15987,0
HDFCBANK,04/01/2021,09:48:00,1487.70,1488.00,1486.40,1486.45,19588,0
HDFCBANK,04/01/2021,09:49:00,1486.05,1487.90,1486.05,1487.60,20658,0
HDFCBANK,04/01/2021,09:50:00,1487.50,1488.35,1487.20,1487.35,20888,0
HDFCBANK,04/01/2021,09:51:00,1487.95,1489.10,1487.05,1488.45,29221,0
HDFCBANK,04/01/2021,09:52:00,1488.20,1489.00,1488.00,1488.40,17055,0
HDFCBANK,04/01/2021,09:53:00,1488.35,1488.70,1488.25,1488.35,6627,0
HDFCBANK,04/01/2021,09:54:00,1488.25,1488.50,1487.30,1488.00,17182,0
HDFCBANK,04/01/2021,09:55:00,1488.05,1488.45,1488.00,1488.40,11690,0
HDFCBANK,04/01/2021,09:56:00,1488.40,1489.30,1488.00,1488.30,46485,0
