datetime,Close_A,Close_B,regime_A,regime_B,beta,alpha,spread,spread_mean,spread_std,z
2022-05-31 10:15:00,2.55,3.0,,Sideways,0.7829443117074067,0.7829443117074067,0.22054769343870628,0.22054769343870628,0.07515719289762333,0.0
2022-05-31 10:16:00,2.55,3.0,,Sideways,0.8129096403881428,0.8128210450772393,0.11425937193299651,0.1674035326858514,0.07515719289762333,-0.7071067811865475
2022-05-31 10:17:00,2.55,3.0,,Sideways,0.8234569321216432,0.8232778100579532,0.07690701303185676,0.13723802613451985,0.0745263388247441,-0.8095260555404084
2022-05-31 10:18:00,2.55,3.0,,Sideways,0.828865818875838,0.8285960911025833,0.05779607076402993,0.11737753729189737,0.07266732085804069,-0.8199210570080445
2022-05-31 10:19:00,2.6,3.0,Trending,Sideways,0.8298089482795405,0.8295127676888367,0.012983966784357648,0.09649882319038942,0.07835820412169112,-1.06580870940243
2022-05-31 10:20:00,2.6,2.95,,Trending,0.8280046480452374,0.8277824460858487,-0.030594531003465875,0.07531659749141355,0.08720164353907221,-1.2145542698105696
2022-05-31 10:21:00,2.55,2.95,Trending,Sideways,0.8284591780446176,0.8282123039954222,0.009216791990803053,0.06587376813418347,0.08343225623513091,-0.679077597802321
2022-05-31 10:22:00,2.6,3.0,Trending,Trending,0.8291367856393709,0.8288406179103895,0.015403739427246155,0.05956501454581631,0.07927751357088811,-0.5570466722456194
2022-05-31 10:23:00,2.6,3.0,Sideways,Sideways,0.8296697529719306,0.8293252620375351,0.013533380235445147,0.054450388511330626,0.07572808748072477,-0.540314824222917
2022-05-31 10:24:00,2.6,2.95,Sideways,Trending,0.8285063605932262,0.8282894685973576,-0.03240600613974598,0.04576474904622296,0.07649805794957705,-1.0218658784448416
2022-05-31 10:25:00,2.6,3.0,Sideways,Trending,0.8290301825388428,0.8287454619653728,0.015776063433635912,0.04303850489962414,0.0731335358208987,-0.37277619849740246
2022-05-31 10:26:00,2.6,3.0,Sideways,Sideways,0.829472932185102,0.829121876119182,0.014248500199552705,0.04063933784128485,0.07022362523746485,-0.3758113818887896
2022-05-31 10:27:00,2.6,3.0,Sideways,Sideways,0.8298530609177136,0.8294372131468405,0.012944828467103875,0.038508990966347856,0.06767133803316672,-0.37776942561287336
2022-05-31 10:28:00,2.6,3.0,Sideways,Sideways,0.8301837099174294,0.8297046651028311,0.011817689111852658,0.036602469405312484,0.06540669099305896,-0.3789334075330308
2022-05-31 10:29:00,2.6,2.95,,Trending,0.8292442111779667,0.8289640457158521,-0.03499899477856516,0.03182903845972064,0.06568291959699242,-1.0174339637811383
2022-05-31 10:30:00,2.6,3.0,Sideways,Trending,0.8296016437815104,0.8292385701335414,0.013797156034531799,0.03070204580814634,0.06361565318892208,-0.26573475121620427
2022-05-31 10:31:00,2.6,3.0,Sideways,Sideways,0.8299214324193128,0.8294778355016711,0.01272644020811553,0.029644657243438646,0.06174968884369018,-0.2739806038237533
2022-05-31 10:32:00,2.6,3.0,,Sideways,0.8302094845692071,0.8296877908694826,0.011767549250579101,0.02865148457716867,0.060054005641911615,-0.2811458643952018
