datetime,Close_A,Close_B,regime_A,regime_B,beta,alpha,spread,spread_mean,spread_std,z
2022-05-31 10:15:00,2.55,2.55,,Trending,0.6655026649512957,0.6655026649512957,0.18746553942290012,0.18746553942290012,0.045567036843484114,0.0
2022-05-31 10:16:00,2.55,2.6,,Sideways,0.6977665840529166,0.6976711927433725,0.12302401792169038,0.15524477867229525,0.045567036843484114,-0.7071067811865476
2022-05-31 10:17:00,2.55,2.6,,Trending,0.7091229409564741,0.7089300787378154,0.08280642182317566,0.13109865972258872,0.052794721368218715,-0.9147171658052152
2022-05-31 10:18:00,2.55,2.6,,Trending,0.714946734398772,0.7146563162575773,0.062229511025554185,0.11388137254833008,0.05517180723396805,-0.9362002825779288
2022-05-31 10:19:00,2.6,2.6,Trending,Trending,0.716474065992309,0.7161408093777623,0.02102661904223435,0.09531042184711094,0.06330361194143788,-1.1734528335223031
2022-05-31 10:20:00,2.6,2.6,,Trending,0.7174989822345085,0.7171237027352062,0.017378943455071738,0.0823218421151044,0.06494687866706045,-0.9999387190407073
2022-05-31 10:21:00,2.55,2.6,Trending,Trending,0.7197390489235685,0.7192421776116235,0.045423247633276986,0.0770506143319862,0.060906336043295574,-0.5192787606896391
2022-05-31 10:22:00,2.6,2.55,Trending,Trending,0.7181943410286628,0.7178098420350386,-0.035115128709561905,0.06302989645179269,0.06893682438536217,-1.4236951881147923
2022-05-31 10:23:00,2.6,2.6,Sideways,Sideways,0.7187093555927969,0.7182781611395197,0.013077514319208117,0.057479631770394404,0.06659954188354583,-0.6667030462285557
2022-05-31 10:24:00,2.6,2.55,Sideways,Trending,0.7175314197511644,0.7172294193392067,-0.03281111069223419,0.04845055752413154,0.0689775874950962,-1.1780880017316184
2022-05-31 10:25:00,2.6,2.55,Sideways,Trending,0.7165545420747733,0.7163790354529949,-0.029420844847405814,0.04137133912671906,0.06952255377415435,-1.0182621340996039
2022-05-31 10:26:00,2.6,2.6,Sideways,Sideways,0.7171320887930946,0.7168700505471884,0.018586518590765433,0.03947260408205625,0.06661268002580253,-0.31354519114379664
2022-05-31 10:27:00,2.6,2.55,Sideways,Trending,0.7162940239646725,0.7161748311404255,-0.0285392934485742,0.03424091965662314,0.06650785790859685,-0.9439518138063852
2022-05-31 10:28:00,2.6,2.55,Sideways,Trending,0.7155650464540514,0.7155851833227808,-0.026054304103314774,0.02993411795948472,0.06589932671497058,-0.8496053731316866
2022-05-31 10:29:00,2.6,2.55,,Trending,0.7149239646207818,0.7150798099631198,-0.023882117977152895,0.026346368897042213,0.06500466164585299,-0.7726905363778548
2022-05-31 10:30:00,2.6,2.55,Sideways,Trending,0.7143549195814191,0.7146427576166879,-0.02196554852837762,0.023326874057953473,0.06395136082976066,-0.7082323503154233
2022-05-31 10:31:00,2.6,2.6,Sideways,Sideways,0.7150046983492471,0.7151289210937757,0.025858863198182203,0.023475814595613986,0.061923683944864756,0.03848363745106026
2022-05-31 10:32:00,2.6,2.55,,Trending,0.7144582842504938,0.7147306509433071,-0.022322189994591568,0.020931481007269232,0.0610369290126128,-0.7086475630666602
2022-05-31 10:33:00,2.6,2.55,Sideways,Trending,0.7139632294529465,0.7143790769328623,-0.020683473510523687,0.01874122024317487,0.060080626750587125,-0.656196446108367
2022-05-31 10:34:00,2.6,2.6,Sideways,Sideways,0.7146021485168164,0.7148212963120659,0.02721311754421185,0.019164815108226717,0.05850886355932296,0.13755697763339475
2022-05-31 10:35:00,2.55,2.6,Trending,Trending,0.715931508455376,0.7157323708322318,0.05864228260655979,0.021044694512909246,0.057674393255173796,0.6518939510521471
2022-05-31 10:36:00,2.55,2.55,Sideways,Trending,0.7161120440888609,0.7158530856762717,0.00806120189713333,0.020454535757646705,0.05635247132186398,-0.21992529466413893
2022-05-31 10:37:00,2.55,2.6,,Sideways,0.7173136915330693,0.7166374442366464,0.05421264235402701,0.021922279522706718,0.05550498872591505,0.5817560470243651
2022-05-31 10:38:00,2.6,2.6,Trending,Trending,0.7176970056070946,0.716877177818105,0.01711060760344907,0.02172179319273765,0.05429383443594178,-0.08493018843104656
2022-05-31 10:39:00,2.55,2.55,Trending,Trending,0.7177579790835376,0.7169152283933821,0.0028019249435971005,0.020964998462772028,0.05328520490655441,-0.3408652279939109
2022-05-31 10:40:00,2.6,2.55,Trending,Trending,0.7170760237574623,0.7165080167809542,-0.03090567855035653,0.018969972423805544,0.05319044924378965,-0.9376805739234362
2022-05-31 10:41:00,2.6,2.6,,Sideways,0.7174671321071117,0.7167366234054826,0.01784883311602714,0.018928448745739675,0.05215797293888274,-0.020698956820611073
2022-05-31 10:42:00,2.6,2.55,Sideways,Trending,0.7168120371134014,0.7163615327398476,-0.030072829234691234,0.01717840310358143,0.05201395056426527,-0.9084338302642849
2022-05-31 10:43:00,2.6,2.55,Sideways,Trending,0.7162019789848775,0.716019109432136,-0.02814425479281768,0.015615552831291806,0.05176543566543675,-0.8453480022254977
