datetime,Close_A,Close_B,regime_A,regime_B,beta,alpha,spread,spread_mean,spread_std,z
2022-05-31 10:15:00,1.05,5.05,,,1.9899086977414706,1.9899086977414706,0.9706871696299855,0.9706871696299855,0.3069203735865746,0.0
2022-05-31 10:16:00,1.05,5.05,,,2.201647418478752,2.201633995862075,0.5366362147352346,0.75366169218261,0.3069203735865746,-0.7071067811865476
2022-05-31 10:17:00,1.0,5.05,,,2.2983418861866016,2.2983334101360855,0.45332470367731315,0.6535493626808444,0.27779037675209617,-0.7207760806711256
2022-05-31 10:18:00,1.05,5.05,,,2.3379154200984327,2.3378896541686363,0.2572991547280088,0.5544868106926355,0.30116200363986945,-0.9868032898333507
2022-05-31 10:19:00,1.05,5.05,,,2.3622751598759595,2.362233611612081,0.20737747051816147,0.4850649426577407,0.3035142387674049,-0.9149075617252416
2022-05-31 10:20:00,1.05,5.05,Sideways,,2.3787949299093243,2.3787383974275844,0.17352692616762422,0.43314193990938793,0.2997877645836776,-0.8659960292318709
2022-05-31 10:21:00,1.05,5.05,Sideways,,2.390745946886818,2.390674917363051,0.14904183840578966,0.39255621112315964,0.2939801515343574,-0.8283361017619942
2022-05-31 10:22:00,1.05,5.05,Sideways,,2.3998016273378693,2.39971643214258,0.1304918591526567,0.35979816712684676,0.2875112385328832,-0.797555981269803
2022-05-31 10:23:00,1.0,5.05,Trending,Sideways,2.4131580702757955,2.4130903477390726,0.22375158198513123,0.3446818798888784,0.27273868905258064,-0.4433925319646649
2022-05-31 10:24:00,1.05,5.05,Trending,,2.4182777394661525,2.418195790569346,0.0926125829911939,0.31947495019910993,0.26921205550098853,-0.8426902234587448
2022-05-31 10:25:00,1.05,5.05,Sideways,Sideways,2.4224926177665504,2.422396978600793,0.08398577274432828,0.29806684315776616,0.2650829969318865,-0.8076001587851609
2022-05-31 10:26:00,1.05,5.05,Sideways,Sideways,2.426026135440022,2.4259172302291176,0.0767553275588595,0.27962421685785727,0.2606961264807141,-0.7781814484075417
2022-05-31 10:27:00,1.05,5.05,Sideways,Sideways,2.4290336781054815,2.428911854818532,0.07060278317071234,0.26354564503576916,0.25624148239328015,-0.7529727820139893
2022-05-31 10:28:00,1.05,5.05,Sideways,Sideways,2.4316266529332293,2.431492206245333,0.06529980817477554,0.24938522811712677,0.2518257235775517,-0.7310032403646036
2022-05-31 10:29:00,1.05,5.05,Sideways,Sideways,2.4338870157293298,2.433740202342042,0.060678431142161315,0.2368047749854624,0.2475085530887523,-0.7115969999636547
2022-05-31 10:30:00,1.05,5.05,Sideways,Sideways,2.435876396751479,2.435717445911048,0.05661233749989858,0.22554274764261467,0.2433223864612927,-0.6942657952665989
2022-05-31 10:31:00,1.05,5.05,Sideways,Sideways,2.4376420314827962,2.4374711523752355,0.05300471456782763,0.2153934515793919,0.2392834341288269,-0.678645964785579
2022-05-31 10:32:00,1.05,5.05,Sideways,Sideways,2.4392207294691524,2.439038116523455,0.04978011753393474,0.20619271079908874,0.2353981608995444,-0.6644597080429303
2022-05-31 10:33:00,1.0,5.05,Trending,Sideways,2.4439814078642454,2.443831047325422,0.16218754481033226,0.20387664943125944,0.22898854127103524,-0.18205760161414866
2022-05-31 10:34:00,1.0,5.05,Sideways,Sideways,2.4483130969341826,2.4481915623003223,0.15349534076549443,0.20135758399797118,0.2231656098590639,-0.21446961860612518
2022-05-31 10:35:00,1.0,5.05,Sideways,Sideways,2.4522732223042256,2.452177556414017,0.1455492212817573,0.1987000429162467,0.21785558971300606,-0.2439727238787314
2022-05-31 10:36:00,1.0,5.05,Sideways,,2.4559092828122973,2.4558369169916427,0.13825380019606026,0.1959524864289655,0.21299550947387005,-0.2708915618710902
2022-05-31 10:37:00,1.05,5.05,Trending,,2.456296462168386,2.4562184310196873,0.014670283703507536,0.18807065152785865,0.21150362438430156,-0.8198458458058528
2022-05-31 10:38:00,1.05,5.05,Sideways,Sideways,2.456653055351466,2.4565695648049464,0.013944727076014019,0.18081540467569845,0.2098860705250492,-0.7950536078084752
2022-05-31 10:39:00,1.05,5.05,Sideways,Sideways,2.456982687442876,2.4568939249948416,0.013274253190138197,0.17411375861627604,0.2081813087745191,-0.772593401266119
2022-05-31 10:40:00,1.05,5.05,Sideways,Sideways,2.4572884215147996,2.457194559190402,0.012652598219058397,0.16790371398561382,0.2064184101342078,-0.752118552146658
