pair,trades,net_pnl,win_rate,daily_sharpe
SANWARIA_VIKASLIFE,0,0.0,0.0,0.0
SANWARIA_VIKASECO,0,0.0,0.0,0.0
SHRENIK_VIKASPROP,0,0.0,0.0,0.0
SHRENIK_SITINET,0,0.0,0.0,0.0
VIKASPROP_SITINET,0,0.0,0.0,0.0
ROLLT_SUNDARAM,0,0.0,0.0,0.0
ROLLT_RNAVAL,0,0.0,0.0,0.0
SUNDARAM_RNAVAL,0,0.0,0.0,0.0
GTLINFRA_INVENTURE,0,0.0,0.0,0.0
GTLINFRA_RCOM,0,0.0,0.0,0.0
JPINFRATEC_INVENTURE,0,0.0,0.0,0.0
INVENTURE_RCOM,0,0.0,0.0,0.0
JPINFRATEC_RCOM,0,0.0,0.0,0.0
RCOM_FCSSOFT,0,0.0,0.0,0.0
UNITECH_AJRINFRA,0,0.0,0.0,0.0
UJAAS_RHFL,0,0.0,0.0,0.0
UNITECH_UJAAS,0,0.0,0.0,0.0
UNITECH_RHFL,0,0.0,0.0,0.0
AJRINFRA_UJAAS,0,0.0,0.0,0.0
RHFL_ANTGRAPHIC,0,0.0,0.0,0.0
UJAAS_ANTGRAPHIC,0,0.0,0.0,0.0
VIKASWSP_BKMINDST,0,0.0,0.0,0.0
GTLINFRA_JPINFRATEC,1,-1317.5632,0.0,0.0
