entry_time,exit_time,side,entryA,entryB,exitA,exitB,sizeA,sizeB,z_entry,z_exit,gross_pnl,costs,net_pnl,exit_day
2022-01-03 11:42:00,2022-01-03 11:49:00,EXIT_SIGNAL,7.75,3.7,7.7,3.7,-110,541,-3.3525077376134913,-0.0786251920573786,5.4999999999999805,8.839495,-3.339495000000019,2022-01-03
2022-01-03 13:30:00,2022-01-03 13:37:00,EXIT_SIGNAL,7.85,3.7,7.85,3.7,-106,541,-2.6261628735799656,-0.12136425286169182,0.0,8.78478,-8.78478,2022-01-03
2022-01-03 14:01:00,2022-01-03 14:08:00,EXIT_SIGNAL,7.8,3.7,7.85,3.7,106,-541,2.515778582974122,0.06130773615468091,5.299999999999981,8.776565,-3.4765650000000186,2022-01-03
2022-01-04 10:34:00,2022-01-04 10:40:00,EXIT_SIGNAL,7.85,3.7,7.8,3.7,-109,541,-6.093671239139844,0.014888324505598913,5.449999999999981,8.8493375,-3.39933750000002,2022-01-04
2022-01-04 12:44:00,2022-01-04 13:02:00,EXIT_SIGNAL,7.8,3.6,7.8,3.8,101,-556,3.6124491978851134,0.09289529931131892,-111.19999999999985,8.819499999999998,-120.01949999999985,2022-01-04
2022-01-04 14:17:00,2022-01-05 00:00:00,EOD_CLOSE,7.75,3.8,7.8,3.85,-112,526,-2.821296613830926,,20.70000000000016,8.936525,11.76347500000016,2022-01-05
2022-01-05 10:21:00,2022-01-05 10:49:00,EXIT_SIGNAL,7.5,3.8,7.5,3.85,114,-526,2.656745662089469,-0.12503126659636452,-26.30000000000014,8.887545000000001,-35.18754500000014,2022-01-05
2022-01-06 10:59:00,2022-01-06 11:04:00,EXIT_SIGNAL,7.95,3.55,7.95,3.6,-89,563,-2.5841242053488758,-0.047529719189445936,28.15000000000015,8.4328525,19.717147500000152,2022-01-06
2022-01-06 13:11:00,2022-01-06 13:29:00,EXIT_SIGNAL,7.9,3.6,7.9,3.6,88,-556,3.605342550689946,-0.005419401393560551,0.0,8.36008,-8.36008,2022-01-06
2022-01-07 12:26:00,2022-01-07 12:36:00,EXIT_SIGNAL,7.85,3.55,7.85,3.6,-90,563,-3.315951975941766,0.03265544675785953,28.15000000000015,8.4295975,19.72040250000015,2022-01-07
2022-01-07 13:48:00,2022-01-07 14:23:00,EXIT_SIGNAL,7.8,3.65,7.85,3.6,90,-548,2.5731691950911384,-0.1903181739373729,31.899999999999885,8.341325,23.558674999999887,2022-01-07
2022-01-10 11:32:00,2022-01-10 11:44:00,EXIT_SIGNAL,8.1,3.5,8.1,3.65,-77,571,-2.95193831146834,0.13189943197549261,85.64999999999995,8.2615775,77.38842249999995,2022-01-10
2022-01-10 13:21:00,2022-01-10 13:31:00,EXIT_SIGNAL,8.1,3.6,8.1,3.65,-78,556,-2.5202765619284464,-0.18618941684393311,27.7999999999999,8.20663,19.5933699999999,2022-01-10
2022-01-10 13:47:00,2022-01-10 14:00:00,EXIT_SIGNAL,8.05,3.6,8.05,3.65,-79,556,-2.801515668465706,0.007630490116199836,27.7999999999999,8.219495,19.580504999999903,2022-01-10
2022-01-11 10:30:00,2022-01-11 10:56:00,EXIT_SIGNAL,8.1,3.6,8.1,3.7,-79,556,-2.6634561803302454,-0.13550023685748608,55.60000000000005,8.27483,47.32517000000005,2022-01-11
2022-01-11 11:18:00,2022-01-11 11:56:00,EXIT_SIGNAL,8.05,3.6,8.05,3.75,-80,556,-2.7631051237711737,0.14962447349080002,83.39999999999995,8.33063,75.06936999999995,2022-01-11
2022-01-12 10:38:00,2022-01-12 10:48:00,EXIT_SIGNAL,7.85,3.85,7.85,3.9,-88,519,-3.0026520790524187,0.03930749245056673,25.949999999999907,8.375967499999998,17.57403249999991,2022-01-12
2022-01-12 12:10:00,2022-01-12 12:18:00,EXIT_SIGNAL,7.95,3.75,7.9,3.75,-82,533,-2.810269381490935,-0.14170881430050544,4.099999999999985,8.21066,-4.110660000000015,2022-01-12
2022-01-12 12:34:00,2022-01-12 12:43:00,EXIT_SIGNAL,7.85,3.8,7.85,3.7,82,-526,2.5258390045960684,-0.13548331304790018,52.59999999999981,8.110219999999998,44.48977999999981,2022-01-12
2022-01-13 11:13:00,2022-01-13 11:40:00,EXIT_SIGNAL,7.8,3.65,7.75,3.6,77,-548,2.7854814870596454,-0.17721092095725383,23.549999999999915,8.0140425,15.535957499999915,2022-01-13
2022-01-14 11:11:00,2022-01-14 11:23:00,EXIT_SIGNAL,7.5,3.55,7.55,3.6,-81,563,-2.8486832027026208,-0.010016346810282486,24.100000000000165,8.128974999999999,15.971025000000166,2022-01-14
2022-01-17 11:10:00,2022-01-17 11:26:00,EXIT_SIGNAL,7.7,3.6,7.7,3.7,-76,556,-3.243633105200031,0.13556662672491443,55.60000000000005,8.105260000000001,47.49474000000005,2022-01-17
2022-01-17 11:58:00,2022-01-17 12:05:00,EXIT_SIGNAL,7.7,3.55,7.65,3.6,-76,563,-3.3829090967156716,0.023040823616607645,31.950000000000138,8.047677499999999,23.90232250000014,2022-01-17
2022-01-17 13:33:00,2022-01-17 13:50:00,EXIT_SIGNAL,7.7,3.55,7.7,3.6,-73,563,-2.6073126408167733,0.1903171741629579,28.15000000000015,7.9819575,20.16804250000015,2022-01-17
2022-01-18 12:11:00,2022-01-18 12:23:00,EXIT_SIGNAL,7.6,3.4,7.6,3.5,-70,588,-3.113552405345515,0.14287402566489243,58.800000000000054,7.93786,50.86214000000005,2022-01-18
2022-01-19 11:39:00,2022-01-19 12:03:00,EXIT_SIGNAL,7.5,3.35,7.5,3.3,64,-597,3.407029660022656,-0.017293071999386858,29.850000000000158,7.6415774999999995,22.208422500000157,2022-01-19
2022-01-20 14:08:00,2022-01-20 14:18:00,EXIT_SIGNAL,7.6,3.4,7.6,3.4,58,-588,3.353050835753604,-0.04388953366916726,0.0,7.564,-7.564,2022-01-20
2022-01-21 14:24:00,2022-01-22 00:00:00,EOD_CLOSE,7.5,3.55,7.55,3.55,65,-563,3.229675419024451,,3.2499999999999885,7.7121024999999985,-4.46210250000001,2022-01-22
2022-01-24 10:34:00,2022-01-24 10:45:00,EXIT_SIGNAL,7.35,3.45,7.35,3.4,62,-580,4.820588026407652,0.06015721237607471,29.000000000000156,7.570819999999999,21.42918000000016,2022-01-24
2022-01-24 14:08:00,2022-01-24 14:14:00,EXIT_SIGNAL,7.2,3.4,7.15,3.4,62,-588,2.5704655341063964,0.17680758825988635,-3.099999999999989,7.576554999999999,-10.676554999999988,2022-01-24
2022-01-25 13:44:00,2022-01-25 13:57:00,EXIT_SIGNAL,7.3,3.25,7.3,3.25,-53,615,-2.681421817786801,-0.157862266008487,0.0,7.395515,-7.395515,2022-01-25
2022-01-27 10:56:00,2022-01-27 11:04:00,EXIT_SIGNAL,7.45,3.1,7.45,3.15,-44,645,-2.509156868564021,0.1049496414343154,32.249999999999886,7.2646175,24.985382499999886,2022-01-27
2022-01-27 14:14:00,2022-01-27 14:26:00,EXIT_SIGNAL,7.4,3.2,7.45,3.2,42,-625,2.762134393178784,0.17968578513327949,2.0999999999999925,7.166735000000001,-5.066735000000008,2022-01-27
2022-01-28 10:46:00,2022-01-28 11:05:00,EXIT_SIGNAL,7.4,3.2,7.35,3.25,-46,625,-3.4033101626308584,0.18161463175068399,33.549999999999926,7.300112499999999,26.24988749999993,2022-01-28
