entry_time,exit_time,side,entryA,entryB,exitA,exitB,sizeA,sizeB,z_entry,z_exit,gross_pnl,costs,net_pnl,exit_day
2022-01-04 12:44:00,2022-01-04 14:03:00,EXIT_SIGNAL,7.8,4.45,8.3,4.45,-120,449,-7.6168,-0.1876,-60.0,9.1886,-69.1886,2022-01-04
2022-01-07 10:47:00,2022-01-07 11:03:00,EXIT_SIGNAL,7.7,4.05,7.65,3.9,-82,494,-3.1351,-0.1946,-70.0,8.0383,-78.0383,2022-01-07
2022-01-07 12:47:00,2022-01-07 13:39:00,EXIT_SIGNAL,7.2,3.85,7.5,3.85,76,-519,3.7481,-0.1986,22.8,7.9259,14.8741,2022-01-07
2022-01-10 12:06:00,2022-01-10 12:29:00,EXIT_SIGNAL,7.75,4.0,7.8,4.0,65,-500,3.4906,-0.1795,3.25,7.7666,-4.5167,2022-01-10
2022-01-12 10:27:00,2022-01-12 10:40:00,EXIT_SIGNAL,8.45,4.4,8.3,4.4,-68,455,-2.5734,0.0976,10.2,7.9716,2.2284,2022-01-12
2022-01-12 10:59:00,2022-01-12 11:12:00,EXIT_SIGNAL,8.25,4.0,8.2,4.25,-67,500,-7.0401,-0.0456,128.35,8.1021,120.2479,2022-01-12
2022-01-13 11:36:00,2022-01-13 11:50:00,EXIT_SIGNAL,7.55,4.15,7.55,4.1,62,-482,5.6854,0.1431,24.1,7.6147,16.4853,2022-01-13
2022-01-14 13:28:00,2022-01-14 13:48:00,EXIT_SIGNAL,7.85,4.05,7.85,4.1,-51,494,-2.66,-0.1976,24.7,7.4815,17.2185,2022-01-14
2022-01-14 14:05:00,2022-01-14 14:18:00,EXIT_SIGNAL,7.85,4.0,7.85,4.05,-50,500,-2.6796,-0.0065,25.0,7.4555,17.5445,2022-01-14
2022-01-17 10:23:00,2022-01-17 11:13:00,EXIT_SIGNAL,8.0,4.1,8.2,4.1,44,-488,2.5391,0.1935,8.8,7.3073,1.4927,2022-01-17
2022-01-17 12:25:00,2022-01-17 12:31:00,EXIT_SIGNAL,8.2,4.15,8.2,4.2,-46,482,-3.2748,0.0811,24.1,7.4076,16.6924,2022-01-17
2022-01-17 14:17:00,2022-01-18 00:00:00,EOD_CLOSE,7.95,4.25,8.15,4.2,45,-471,3.5171,,32.55,7.2919,25.2581,2022-01-18
2022-01-18 11:15:00,2022-01-18 12:00:00,EXIT_SIGNAL,7.9,4.0,7.8,4.0,-40,500,-2.6446,-0.1963,4.0,7.1734,-3.1734,2022-01-18
2022-01-18 12:53:00,2022-01-18 12:58:00,EXIT_SIGNAL,7.9,3.95,7.9,4.05,-39,506,-2.8584,0.1825,50.6,7.2295,43.3705,2022-01-18
2022-01-19 10:52:00,2022-01-19 11:08:00,EXIT_SIGNAL,7.55,3.85,7.5,4.0,-34,519,-2.5262,0.1703,79.55,7.108,72.4419,2022-01-19
2022-01-20 10:39:00,2022-01-20 10:51:00,EXIT_SIGNAL,7.65,3.9,7.65,3.85,26,-513,2.6688,0.0396,25.65,6.779,18.871,2022-01-20
2022-01-20 11:27:00,2022-01-20 12:05:00,EXIT_SIGNAL,7.75,3.75,7.65,3.85,-28,533,-3.6438,0.0884,56.1,6.9471,49.1529,2022-01-20
2022-01-20 13:30:00,2022-01-20 13:35:00,EXIT_SIGNAL,7.65,3.75,7.65,3.8,-26,533,-2.6781,-0.1408,26.65,6.8541,19.7959,2022-01-20
2022-01-21 10:34:00,2022-01-21 10:50:00,EXIT_SIGNAL,7.15,3.95,7.2,3.9,26,-506,2.7226,-0.0604,26.6,6.735,19.865,2022-01-21
2022-01-21 11:24:00,2022-01-21 11:31:00,EXIT_SIGNAL,7.3,3.95,7.3,3.95,25,-506,2.7465,-0.1299,0.0,6.7618,-6.7618,2022-01-21
2022-01-21 11:49:00,2022-01-21 12:32:00,EXIT_SIGNAL,7.25,3.8,7.25,4.0,-28,526,-3.1641,0.1601,105.2,6.9886,98.2114,2022-01-21
2022-01-21 14:30:00,2022-01-22 00:00:00,EOD_CLOSE,7.35,3.9,7.2,3.8,22,-513,2.5738,,48.0,6.6188,41.3812,2022-01-22
2022-01-24 11:47:00,2022-01-24 11:54:00,EXIT_SIGNAL,6.9,3.75,6.9,3.65,20,-533,3.0588,-0.1754,53.3,6.5413,46.7587,2022-01-24
2022-01-24 12:09:00,2022-01-24 12:28:00,EXIT_SIGNAL,6.9,3.75,6.9,3.65,20,-533,4.0484,-0.1599,53.3,6.5413,46.7587,2022-01-24
2022-01-25 12:34:00,2022-01-25 12:57:00,EXIT_SIGNAL,7.1,3.8,7.15,3.85,-24,526,-2.9267,-0.0234,25.1,6.7672,18.3328,2022-01-25
2022-01-25 13:22:00,2022-01-25 14:04:00,EXIT_SIGNAL,7.0,3.85,7.05,3.8,20,-519,3.7742,-0.0562,26.95,6.5896,20.3604,2022-01-25
2022-01-27 10:46:00,2022-01-27 10:51:00,EXIT_SIGNAL,7.15,3.85,6.9,3.75,17,-519,3.4478,0.1098,47.65,6.484,41.166,2022-01-27
2022-01-27 11:18:00,2022-01-27 11:48:00,EXIT_SIGNAL,7.15,3.85,7.15,3.8,17,-519,4.3975,-0.0515,25.95,6.5308,19.4192,2022-01-27
2022-01-27 12:37:00,2022-01-27 12:45:00,EXIT_SIGNAL,7.1,3.8,7.1,3.75,14,-526,2.8337,0.0885,26.3,6.4636,19.8364,2022-01-27
2022-01-27 13:20:00,2022-01-27 13:31:00,EXIT_SIGNAL,7.1,3.8,7.1,3.8,14,-526,3.2283,0.1405,0.0,6.5044,-6.5044,2022-01-27
2022-01-27 14:27:00,2022-01-28 00:00:00,EOD_CLOSE,7.05,3.8,7.0,3.7,15,-526,2.6468,,51.85,6.4415,45.4085,2022-01-28
2022-01-28 10:51:00,2022-01-28 11:49:00,EXIT_SIGNAL,7.1,3.8,7.05,3.8,-18,526,-5.9157,0.0694,0.9,6.591,-5.691,2022-01-28
2022-01-28 13:47:00,2022-01-29 00:00:00,EOD_CLOSE,7.05,3.7,7.0,3.75,-17,541,-4.1134,,27.9,6.6174,21.2826,2022-01-29
