exit_day,daily_net_pnl,cum_pnl
2022-01-04,-112.6494,-112.6494
2022-01-05,7.201499999999999,-105.4479
2022-01-06,-84.64030000000001,-190.0882
2022-01-07,29.352,-160.7362
2022-01-08,3.4494,-157.2868
2022-01-10,50.7958,-106.491
2022-01-11,84.47529999999999,-22.0157
2022-01-12,-10.000399999999999,-32.0161
2022-01-13,-1.1584,-33.1745
2022-01-14,109.563,76.3885
2022-01-17,63.6857,140.0742
2022-01-19,-2.9078,137.1664
2022-01-20,55.815799999999996,192.9822
2022-01-21,136.9401,329.9223
2022-01-24,29.0809,359.0032
2022-01-25,29.6962,388.6994
2022-01-27,68.2423,456.9417
2022-01-28,30.1481,487.0898
2022-01-29,-7.0082,480.0816
