entry_time,exit_time,side,entryA,entryB,exitA,exitB,sizeA,sizeB,z_entry,z_exit,gross_pnl,costs,net_pnl,exit_day
2022-01-04 10:34:00,2022-01-04 10:54:00,EXIT_SIGNAL,3.7,2.95,3.6,2.95,316,-678,4.0256,-0.0181,-31.6,9.7758,-41.3758,2022-01-04
2022-01-04 12:44:00,2022-01-04 13:11:00,EXIT_SIGNAL,3.6,2.95,3.8,2.95,-328,678,-5.7772,-0.1513,-65.6,9.9625,-75.5625,2022-01-04
2022-01-04 14:05:00,2022-01-04 14:18:00,EXIT_SIGNAL,3.8,2.95,3.85,2.95,275,-678,2.8327,0.189,13.75,9.4611,4.2889,2022-01-04
2022-01-05 10:35:00,2022-01-05 10:40:00,EXIT_SIGNAL,3.9,2.85,3.85,2.85,-255,702,-2.8465,-0.0394,12.75,9.2654,3.4846,2022-01-05
2022-01-05 11:16:00,2022-01-05 11:26:00,EXIT_SIGNAL,3.75,2.85,3.8,2.85,259,-702,2.6653,0.172,12.95,9.2331,3.7169,2022-01-05
2022-01-05 14:15:00,2022-01-06 00:00:00,EOD_CLOSE,3.7,2.85,3.7,2.85,257,-702,2.7804,,0.0,9.15,-9.15,2022-01-06
2022-01-06 10:59:00,2022-01-06 11:11:00,EXIT_SIGNAL,3.55,2.75,3.6,2.75,259,-727,2.9244,0.0521,12.95,9.0681,3.8819,2022-01-06
2022-01-06 11:54:00,2022-01-06 12:15:00,EXIT_SIGNAL,3.55,2.85,3.55,2.95,260,-702,5.5677,0.1884,-70.2,9.1722,-79.3722,2022-01-06
2022-01-07 10:19:00,2022-01-07 11:20:00,EXIT_SIGNAL,3.7,3.0,3.65,3.0,-265,667,-2.6674,-0.1787,13.25,9.2221,4.0279,2022-01-07
2022-01-07 11:58:00,2022-01-07 12:10:00,EXIT_SIGNAL,3.65,2.9,3.65,2.95,-258,690,-2.7751,0.0679,34.5,9.1759,25.3241,2022-01-07
2022-01-07 13:45:00,2022-01-08 00:00:00,EOD_CLOSE,3.55,2.85,3.6,2.85,248,-702,2.9612,,12.4,8.9506,3.4494,2022-01-08
2022-01-10 11:56:00,2022-01-10 12:32:00,EXIT_SIGNAL,3.5,2.95,3.65,2.95,224,-678,3.031,-0.1353,33.6,8.6828,24.9172,2022-01-10
2022-01-10 12:48:00,2022-01-10 12:53:00,EXIT_SIGNAL,3.65,2.9,3.65,2.95,-209,690,-3.0733,0.1555,34.5,8.6214,25.8786,2022-01-10
2022-01-10 13:51:00,2022-01-11 00:00:00,EOD_CLOSE,3.6,2.95,3.7,2.95,212,-678,2.5434,,21.2,8.5991,12.6009,2022-01-11
2022-01-11 10:42:00,2022-01-11 10:48:00,EXIT_SIGNAL,3.7,2.95,3.65,3.0,-209,678,-3.0382,-0.1606,44.35,8.6339,35.7161,2022-01-11
2022-01-11 11:49:00,2022-01-11 12:03:00,EXIT_SIGNAL,3.75,3.0,3.7,3.05,-201,667,-2.7452,0.19,43.4,8.5759,34.8241,2022-01-11
2022-01-11 13:39:00,2022-01-11 13:44:00,EXIT_SIGNAL,3.7,3.05,3.75,3.05,196,-656,2.8467,0.1974,9.8,8.4658,1.3342,2022-01-11
2022-01-12 10:38:00,2022-01-12 10:51:00,EXIT_SIGNAL,3.85,2.9,3.9,2.9,133,-690,2.7028,-0.0048,6.65,7.8007,-1.1507,2022-01-12
2022-01-12 11:47:00,2022-01-12 11:52:00,EXIT_SIGNAL,3.8,2.9,3.85,2.9,135,-690,3.136,0.0208,6.75,7.8039,-1.0539,2022-01-12
2022-01-12 12:10:00,2022-01-12 12:24:00,EXIT_SIGNAL,3.75,2.9,3.75,2.9,137,-690,2.8557,-0.0908,0.0,7.7958,-7.7958,2022-01-12
2022-01-13 11:13:00,2022-01-13 12:08:00,EXIT_SIGNAL,3.65,2.8,3.6,2.8,-130,714,-3.567,0.1913,6.5,7.6584,-1.1584,2022-01-13
2022-01-13 13:27:00,2022-01-14 00:00:00,EOD_CLOSE,3.6,2.85,3.6,2.8,130,-702,3.4362,,35.1,7.5986,27.5014,2022-01-14
2022-01-14 10:17:00,2022-01-14 10:24:00,EXIT_SIGNAL,3.7,2.85,3.7,2.8,123,-702,2.7951,0.1739,35.1,7.5586,27.5414,2022-01-14
2022-01-14 12:17:00,2022-01-14 12:41:00,EXIT_SIGNAL,3.65,2.85,3.65,2.9,-142,702,-3.1559,0.1965,35.1,7.8633,27.2367,2022-01-14
2022-01-14 13:03:00,2022-01-14 13:15:00,EXIT_SIGNAL,3.7,2.85,3.7,2.9,-136,702,-2.7733,0.1982,35.1,7.8164,27.2835,2022-01-14
2022-01-17 12:37:00,2022-01-17 14:00:00,EXIT_SIGNAL,3.6,2.8,3.6,2.9,-126,714,-3.9688,0.1853,71.4,7.7143,63.6857,2022-01-17
2022-01-19 11:39:00,2022-01-19 12:15:00,EXIT_SIGNAL,3.35,2.65,3.3,2.65,-83,755,-3.67,-0.1615,4.15,7.0578,-2.9078,2022-01-19
2022-01-20 10:37:00,2022-01-20 10:47:00,EXIT_SIGNAL,3.15,2.55,3.2,2.6,-94,784,-2.7221,-0.1808,34.5,7.1835,27.3165,2022-01-20
2022-01-20 12:28:00,2022-01-20 12:58:00,EXIT_SIGNAL,3.2,2.65,3.25,2.65,86,-755,2.7577,0.1781,4.3,7.0621,-2.7621,2022-01-20
2022-01-20 13:36:00,2022-01-20 13:41:00,EXIT_SIGNAL,3.3,2.6,3.3,2.65,-91,769,-2.5639,0.047,38.45,7.1886,31.2614,2022-01-20
2022-01-20 14:15:00,2022-01-21 00:00:00,EOD_CLOSE,3.4,2.6,3.4,2.75,-84,769,-2.5656,,115.35,7.2623,108.0877,2022-01-21
2022-01-21 10:43:00,2022-01-21 10:57:00,EXIT_SIGNAL,3.55,2.75,3.55,2.8,-113,727,-3.5764,-0.1922,36.35,7.4976,28.8524,2022-01-21
2022-01-24 12:04:00,2022-01-24 13:08:00,EXIT_SIGNAL,3.4,2.75,3.4,2.7,107,-727,2.5427,-0.1817,36.35,7.2691,29.0809,2022-01-24
2022-01-25 11:23:00,2022-01-25 11:36:00,EXIT_SIGNAL,3.25,2.7,3.25,2.65,120,-741,2.9725,-0.1506,37.05,7.3538,29.6962,2022-01-25
2022-01-27 12:52:00,2022-01-27 13:09:00,EXIT_SIGNAL,3.1,2.65,3.1,2.55,122,-755,3.3485,-0.1719,75.5,7.2577,68.2423,2022-01-27
2022-01-28 11:33:00,2022-01-28 11:38:00,EXIT_SIGNAL,3.25,2.45,3.3,2.5,-73,816,-2.8454,-0.1403,37.15,7.0019,30.1481,2022-01-28
2022-01-28 12:59:00,2022-01-29 00:00:00,EOD_CLOSE,3.3,2.5,3.3,2.5,-79,800,-2.5256,,0.0,7.0082,-7.0082,2022-01-29
